country,cell_id,radio,lon,lat,year,net,mcc,population
Spain,142,GSM,-3.102,43.204,2020,3,214,180.86388001
Spain,143,GSM,-3.101,43.209,2020,1,214,467.7876375
Spain,144,GSM,-3.1,43.206,2020,3,214,299.53570328
Spain,145,GSM,-3.1,43.328,2020,1,214,536.7340239
Spain,146,GSM,-3.1,43.331,2020,4,214,305.44188144
Spain,147,GSM,-3.099,43.205,2020,3,214,223.13376954
Spain,148,GSM,-3.099,43.239,2020,7,214,12.918898167
Spain,149,GSM,-3.099,43.331,2020,4,214,256.81492093
Spain,150,GSM,-3.099,43.332,2020,7,214,212.82473575
Spain,151,GSM,-3.099,43.353,2020,3,214,60.30625187
Spain,152,GSM,-3.098,43.319,2020,3,214,570.666627
Spain,153,GSM,-3.098,43.325,2020,3,214,517.9855832
Spain,154,GSM,-3.098,43.331,2020,7,214,221.54503223
Spain,155,GSM,-3.097,43.325,2020,1,214,464.157248
Spain,156,GSM,-3.097,43.329,2020,7,214,298.50547357
Spain,157,GSM,-3.096,43.207,2020,4,214,347.43700575
Spain,158,GSM,-3.096,43.33,2020,3,214,225.27771255
Spain,159,GSM,-3.095,43.206,2020,3,214,299.19708367
Spain,160,GSM,-3.094,43.232,2020,1,214,10.755868763
Spain,161,GSM,-3.094,43.319,2020,3,214,569.5046567
Spain,162,GSM,-3.094,43.332,2020,7,214,151.05462388
Spain,163,GSM,-3.092,43.328,2020,1,214,283.31908631
Spain,164,GSM,-3.092,43.36,2020,1,214,232.60426441
Spain,165,GSM,-3.091,43.206,2020,4,214,236.40250057
Spain,166,GSM,-3.09,43.228,2020,3,214,10.462781811
Spain,167,GSM,-3.089,43.227,2020,3,214,11.513435253
Spain,168,GSM,-3.089,43.31,2020,1,214,225.83252464
Spain,169,GSM,-3.089,43.32,2020,3,214,325.7776749
Spain,170,GSM,-3.089,43.329,2020,1,214,220.44770308
Spain,171,GSM,-3.088,43.236,2020,3,214,8.816899181
Spain,172,GSM,-3.088,43.318,2020,3,214,316.2351112
Spain,173,GSM,-3.087,43.329,2020,4,214,219.2536801
Spain,174,GSM,-3.087,43.337,2020,3,214,40.0926344
Spain,175,GSM,-3.086,43.327,2020,7,214,236.17124995
Spain,176,GSM,-3.086,43.33,2020,7,214,202.31326788
Spain,177,GSM,-3.086,43.359,2020,4,214,135.35229514
Spain,178,GSM,-3.085,43.308,2020,3,214,434.6867856
Spain,179,GSM,-3.085,43.33,2020,7,214,229.73739778
Spain,180,GSM,-3.084,43.201,2020,7,214,102.48926247
Spain,181,GSM,-3.084,43.318,2020,1,214,358.5939971
Spain,182,GSM,-3.082,43.307,2020,1,214,592.6466972
Spain,183,GSM,-3.082,43.334,2020,1,214,179.25438054
Spain,184,GSM,-3.081,43.329,2020,1,214,354.7952137
Spain,185,GSM,-3.08,43.322,2020,3,214,533.0437127
Spain,186,GSM,-3.08,43.324,2020,1,214,476.8082607
Spain,187,GSM,-3.08,43.355,2020,1,214,129.80332188
Spain,188,GSM,-3.079,43.329,2020,1,214,410.3763037
Spain,189,GSM,-3.079,43.329,2020,3,214,410.3763037
Spain,190,GSM,-3.078,43.315,2020,1,214,927.3235186
Spain,191,GSM,-3.078,43.319,2020,3,214,992.1274951
Spain,192,GSM,-3.078,43.351,2020,4,214,151.77638039
Spain,193,GSM,-3.077,43.296,2020,3,214,63.3019401
Spain,194,GSM,-3.077,43.311,2020,1,214,1010.6484027
Spain,195,GSM,-3.077,43.323,2020,7,214,850.257461
Spain,196,GSM,-3.077,43.329,2020,7,214,454.570272
Spain,197,GSM,-3.076,43.328,2020,3,214,505.7232036
Spain,198,GSM,-3.076,43.329,2020,1,214,449.35492336
Spain,199,GSM,-3.076,43.354,2020,1,214,132.73718361
Spain,200,GSM,-3.075,43.317,2020,3,214,1314.7481338
Spain,201,GSM,-3.075,43.327,2020,3,214,594.365293
Spain,202,GSM,-3.075,43.328,2020,7,214,494.8722772
Spain,203,GSM,-3.074,43.281,2020,3,214,15.317536061
Spain,204,GSM,-3.074,43.316,2020,3,214,1449.0824629
Spain,205,GSM,-3.074,43.32,2020,3,214,1388.7538057
Spain,206,GSM,-3.074,43.329,2020,1,214,448.83503997
Spain,207,GSM,-3.074,43.37,2020,1,214,0.0
Spain,208,GSM,-3.073,43.33,2020,7,214,384.93693667
Spain,209,GSM,-3.073,43.359,2020,1,214,24.53127153
Spain,210,GSM,-3.072,43.314,2020,3,214,1608.0641809
Spain,211,GSM,-3.072,43.315,2020,1,214,1632.2704054
Spain,212,GSM,-3.072,43.348,2020,3,214,521.87669315
Spain,213,GSM,-3.072,43.349,2020,3,214,464.02806305
Spain,214,GSM,-3.071,43.314,2020,1,214,1627.6695979
Spain,215,GSM,-3.071,43.326,2020,3,214,892.4796947
Spain,216,GSM,-3.071,43.326,2020,7,214,892.4796947
Spain,217,GSM,-3.07,43.202,2020,1,214,74.99309309
Spain,218,GSM,-3.07,43.252,2020,3,214,6.147422289
Spain,219,GSM,-3.07,43.314,2020,1,214,1623.6247521
Spain,220,GSM,-3.069,43.251,2020,3,214,6.241180486
Spain,221,GSM,-3.069,43.327,2020,4,214,830.8410854
Spain,222,GSM,-3.069,43.328,2020,3,214,656.0407992
Spain,223,GSM,-3.069,43.348,2020,3,214,979.63629152
Spain,224,GSM,-3.068,43.328,2020,4,214,720.8185387999999
Spain,225,GSM,-3.068,43.347,2020,4,214,1282.54173118
Spain,226,GSM,-3.068,43.349,2020,1,214,975.3502190199999
Spain,227,GSM,-3.067,43.251,2020,3,214,6.263451003
Spain,228,GSM,-3.067,43.313,2020,3,214,1611.1450702
Spain,229,GSM,-3.067,43.316,2020,1,214,1595.6636012
Spain,230,GSM,-3.067,43.318,2020,3,214,1532.1203102
Spain,231,GSM,-3.067,43.327,2020,3,214,863.4462047
Spain,232,GSM,-3.066,43.327,2020,3,214,896.1875526
Spain,233,GSM,-3.062,43.253,2020,3,214,6.857451302
Spain,234,GSM,-3.062,43.325,2020,1,214,1034.2914385
Spain,235,GSM,-3.062,43.327,2020,7,214,925.0587022
Spain,236,GSM,-3.061,43.319,2020,1,214,1021.4918339
Spain,237,GSM,-3.06,43.288,2020,1,214,193.18882902000001
Spain,238,GSM,-3.06,43.316,2020,1,214,1048.9837017
Spain,239,GSM,-3.06,43.323,2020,7,214,990.499292
Spain,240,GSM,-3.06,43.343,2020,3,214,2158.4890794
Spain,241,GSM,-3.059,43.312,2020,1,214,1310.7418915
Spain,242,GSM,-3.059,43.323,2020,3,214,1007.6414093
Spain,243,GSM,-3.059,43.324,2020,1,214,977.120114
Spain,244,GSM,-3.058,43.298,2020,3,214,179.55429538
Spain,245,GSM,-3.058,43.311,2020,1,214,1284.3913429
Spain,246,GSM,-3.058,43.324,2020,1,214,1006.5234589
Spain,247,GSM,-3.058,43.324,2020,3,214,1006.5234589
Spain,248,GSM,-3.058,43.342,2020,1,214,2485.6938489
Spain,249,GSM,-3.057,43.31,2020,3,214,1218.3122513
Spain,250,GSM,-3.057,43.311,2020,3,214,1254.5823308
Spain,251,GSM,-3.057,43.318,2020,3,214,891.6496677
Spain,252,GSM,-3.057,43.322,2020,7,214,1114.2385095
Spain,253,GSM,-3.057,43.342,2020,3,214,2563.4470893
Spain,254,GSM,-3.056,43.31,2020,1,214,1208.3269135
Spain,255,GSM,-3.056,43.311,2020,3,214,1227.2572159
Spain,256,GSM,-3.056,43.312,2020,1,214,1213.0119543
Spain,257,GSM,-3.056,43.313,2020,1,214,1163.6926408
Spain,258,GSM,-3.056,43.323,2020,1,214,1185.3176902
Spain,259,GSM,-3.056,43.323,2020,3,214,1185.3176902
